湖南电信,#genre#
津市,http://223.156.138.239:4022/udp/239.76.255.30:9000
临澧新闻综合,http://223.156.138.239:4022/udp/239.76.255.32:9000
浏阳,http://223.156.138.239:4022/udp/239.76.255.6:9000
娄底公共,http://223.156.138.239:4022/udp/239.76.255.19:9000
娄底综合,http://223.156.138.239:4022/udp/239.76.255.18:9000
麻阳综合,http://223.156.138.239:4022/udp/239.76.255.45:9000
安乡新闻,http://223.156.138.239:4022/udp/239.76.255.35:9000
快乐垂钓,http://223.156.138.239:4022/udp/239.76.252.127:9000
快乐垂钓,http://223.156.138.239:4022/udp/239.76.253.5:9000
蓝山综合,http://223.156.138.239:4022/udp/239.76.255.38:9000
篮球公园,http://223.156.138.239:4022/udp/239.76.252.206:9000
篮球公园,http://223.156.138.239:4022/udp/239.76.252.222:9000
乐游,http://223.156.138.239:4022/udp/239.76.254.68:9000
了不起的歌,http://223.156.138.239:4022/udp/239.76.252.205:9000
冷水江新闻综合,http://223.156.138.239:4022/udp/239.76.255.40:9000
CCTV1,http://223.156.138.239:4022/udp/239.76.246.151:1234
CCTV2,http://223.156.138.239:4022/udp/239.76.246.152:1234
CCTV3,http://223.156.138.239:4022/udp/239.76.246.153:1234
CCTV4,http://223.156.138.239:4022/udp/239.76.246.154:1234
CCTV4,http://223.156.138.239:4022/udp/239.76.245.195:1234
CCTV4美洲,http://223.156.138.239:4022/udp/239.76.246.96:1234
CCTV4欧洲,http://223.156.138.239:4022/udp/239.76.246.95:1234
CCTV5,http://223.156.138.239:4022/udp/239.76.246.155:1234
CCTV5+,http://223.156.138.239:4022/udp/239.76.246.168:1234
CCTV6,http://223.156.138.239:4022/udp/239.76.246.156:1234
CCTV7,http://223.156.138.239:4022/udp/239.76.246.157:1234
CCTV8,http://223.156.138.239:4022/udp/239.76.246.158:1234
CCTV9,http://223.156.138.239:4022/udp/239.76.246.159:1234
CCTV10,http://223.156.138.239:4022/udp/239.76.246.160:1234
CCTV11,http://223.156.138.239:4022/udp/239.76.245.251:1234
CCTV12,http://223.156.138.239:4022/udp/239.76.246.162:1234
CCTV13,http://223.156.138.239:4022/udp/239.76.246.93:1234
CCTV14,http://223.156.138.239:4022/udp/239.76.246.164:1234
