地理,igmp://238.1.79.4:4144
枞阳电视台,igmp://238.1.78.210:7552
滁州新闻,igmp://238.1.78.132:6928
滁州科教,igmp://238.1.78.134:6944
滁州公共,igmp://238.1.78.133:6936
重庆卫视,igmp://238.1.78.72:6448
池州新闻,igmp://238.1.78.147:7048
池州文教生活,igmp://238.1.78.148:7056
财富天下,igmp://238.1.78.25:6128
亳州综合,igmp://238.1.78.128:6896
亳州农村,igmp://238.1.78.129:6904
兵团卫视,igmp://238.1.78.104:6704
北京卫视,igmp://238.1.78.63:6376
蚌埠新闻,igmp://238.1.78.180:7312
蚌埠公共,igmp://238.1.78.181:7320
蚌埠党建,igmp://238.1.81.201:9008
安庆新闻,igmp://238.1.78.117:6808
安庆公共,igmp://238.1.78.118:6816
安徽综艺·体育,igmp://238.1.78.58:6336
安徽影视,igmp://238.1.78.56:6320
安徽卫视,igmp://238.1.78.42:6208
安徽农业·科教,igmp://238.1.78.59:6344
安徽经济生活,igmp://238.1.78.55:6312
安徽国际,igmp://238.1.78.61:6360
安徽公共,igmp://238.1.78.57:6328
爱生活,igmp://238.1.78.17:4040
