四川广电,#group#
贵州卫视,udp://239.132.1.26:5000
辽宁卫视,udp://239.132.1.91:5000
云南卫视,udp://239.132.1.31:500
江西卫视,udp://239.132.1.32:5000
广西卫视,udp://239.132.1.33:5000
广东卫视,udp://239.132.1.34:5000
河南卫视,udp://239.132.1.35:5000
黑龙江卫视,udp://239.132.1.36:5000
吉林卫视,udp://239.132.1.37:5000
陕西卫视,udp://239.132.1.38:5000
兵团卫视,udp://239.132.1.158:5000
内蒙古卫视,udp://239.132.1.41:5000
山东教育卫视,udp://239.132.1.166:5000
发现之旅,udp://239.132.1.107:5000
劲爆体育,udp://239.132.1.58:5000
老故事,udp://239.132.1.108:5000
魅力足球,udp://239.132.1.84:5000
乐游,udp://239.132.1.77:5000
茶频道,udp://239.132.1.144:5000
环球旅游,udp://239.132.1.65:5000
中国气象,udp://239.132.1.155:5000
梨园频道,udp://239.132.1.118:5000
生活时尚,udp://239.132.1.67:5000
财富天下,udp://239.132.1.117:5000
CETV-1,udp://239.132.1.81:5000
CETV-7,udp://239.132.1.49:5000
中学生,udp://239.132.1.73:5000
金色学堂,udp://239.132.1.128:5000
影迷电影,udp://239.132.1.30:5000
求索纪录,udp://239.132.1.145:5000
卡酷卡通,udp://239.132.1.142:5000
快乐垂钓,udp://239.132.1.54:5000
天元围棋,udp://239.132.1.60:5000
东方财经,udp://239.132.1.152:5000
动漫秀场,udp://239.132.1.71:5000
金鹰卡通,udp://239.132.1.110:5000
金鹰纪实,udp://239.132.1.137:5000
嘉佳卡通,udp://239.132.1.136:5000
纪实科教,udp://239.132.1.151:5000
车迷频道,udp://239.132.1.68:5000
都市剧场,udp://239.132.1.61:5000
武术世界,udp://239.132.1.119:5000
家庭影院,udp://239.132.1.55:5000
动作电影,udp://239.132.1.56:5000
欢笑剧场,udp://239.132.1.183:5000
4K超高清电影,udp://239.132.1.87:5000
文物宝库,udp://239.132.1.122:5000
新视觉,udp://239.132.1.53:5000
中国广电,udp://239.132.8.9:5000

深圳卫视4k,http://60.255.72.119:4022/udp/239.132.1.112:5000
广东卫视4k,http://60.255.72.119:4022//udp/239.132.1.113:5000
天府4K,http://60.255.72.119:4022//udp/239.132.1.59:5000?$3840x2160
四川科教,http://60.255.72.119:4022//udp/239.132.1.50:5000
东方卫视,http://60.255.72.119:4022//udp/239.132.1.19:5000
CCTV5+,http://60.255.72.119:4022//udp/39.132.1.196:5000
CCTV5,http://60.255.72.119:4022//udp/239.132.1.132:5000?$1920x1080
CCTV4K,http://60.255.72.119:4022//udp/239.132.1.82:5000
CCTV1,http://60.255.72.119:4022//udp/239.132.1.1:5000
四川卫视4k239.132.1.181:5000


http://8.137.21.165:60002/ajsccn.f3322.net:4022/udp/239.132.1.1:5000
